usuario,location,latitud,longitud
torresvite35,"Santa Rosa, El Oro, Ecuador",-3.44385,-80.00982
isabelherrerita,"Loja, Ecuador",-3.99313,-79.20422
jormeflo71,Ecuador,-1.25,-78.25
hernansamaniego,"Loja, Ecuador",-3.99313,-79.20422
FujecEcuador,"Loja, Ecuador",-3.99313,-79.20422
mwfalconi,"Loja, Ecuador",-3.99313,-79.20422
adrianisrael45,Ecuador,-1.25,-78.25
JolPec,"Loja, Ecuador",-3.99313,-79.20422
CALED12,"Loja, Ecuador",-3.99313,-79.20422
JuniorAstaroth,"Loja, Ecuador",-3.99313,-79.20422
Yesenia73986213,"Loja, Ecuador",-3.99313,-79.20422
karla_noriega1,"Loja, Ecuador",-3.99313,-79.20422
samstereo,"Riobamba, Chimborazo, Ecuador",-1.67098,-78.64712
rommelguerron,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
BolivarCJ,"Guaranda, Bolívar, Ecuador",-1.59263,-79.00098
lgualpa35,Ecuador,-1.25,-78.25
Winalite_Loja,"Loja, Ecuador",-3.99313,-79.20422
fabiantonio_tc,"Loja, Ecuador",-3.99313,-79.20422
fredi_cueva,"Loja, Ecuador",-3.99313,-79.20422
Jaironcoronel,"Huaquillas, El Oro, Ecuador",-3.47523,-80.23084
MaAlejandraCh,Ecuador,-1.25,-78.25
GinaJudith4,"Loja, Ecuador",-3.99313,-79.20422
AbgJuanFierro,"El Guabo, El Oro, Ecuador",-3.25,-79.85
AugustoAbendano,Ecuador,-1.25,-78.25
Mirella86858468,"Guayas, Ecuador",-2,-79.83333
SAUDEPaTRIAGOB2,"Pasaje, El Oro, Ecuador",-3.32561,-79.80697
YeseniaPalacioJ,"Loja, Ecuador",-3.99313,-79.20422
VictorAntonioE6,"Loja, Ecuador",-3.99313,-79.20422
bluebloodemelec,"Cariamanga, Loja, Ecuador",-4.32796,-79.55554
FlorSary5,"El Guabo, El Oro, Ecuador",-3.25,-79.85
GuayacoLiguista,"Guayas, Ecuador",-2,-79.83333
mar58castillo,"Pastaza, Ecuador",-1.66667,-76.83333
QuinoaFit,"Loja, Ecuador",-3.99313,-79.20422
Robinson_C_,"Pastaza, Ecuador",-1.66667,-76.83333
9797David,"Loja, Ecuador",-3.99313,-79.20422
claumoni21,"Loja, Ecuador",-3.99313,-79.20422
idrovo_agustin,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
JulietitaB1,"San Pedro de Huaca, Carchi, Ecuador",0.61652,-77.70866
Sirion10,Ecuador,-1.25,-78.25
maritzaglt,"Tena, Napo, Ecuador",-0.9938,-77.81286
PatoCornejo,"Salinas, Santa Elena, Ecuador",-2.21452,-80.95151
FS_MBL,"Loja, Ecuador",-3.99313,-79.20422
alexdavidgg,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
DutanRodrigo,"Loja, Ecuador",-3.99313,-79.20422
lu_gabo,Ecuador,-1.25,-78.25
natyenriquez7,Ecuador,-1.25,-78.25
StetiCorp,"Loja, Ecuador",-3.99313,-79.20422
pa_vale,"Loja, Ecuador",-3.99313,-79.20422
Jsarangocuenca,"Loja, Ecuador",-3.99313,-79.20422
NuevosAmigosAA,"Loja, Ecuador",-3.99313,-79.20422
BlancaMawyin,Ecuador,-1.25,-78.25
mdluissarmiento,"Loja, Ecuador",-3.99313,-79.20422
pattymorocho,"Loja, Ecuador",-3.99313,-79.20422
cristiansanch82,Ecuador,-1.25,-78.25
MetroStereo,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
VanessaCNajarro,El Salvador,13.83333,-88.91667
gabrielarosari4,Ecuador,-1.25,-78.25
MiguelEras,Ecuador,-1.25,-78.25
